time;protocol;ip src;src port;ip dst;dst port;flags;seq;ack;options;length
07:48:21.285595;IP;164.100.61.151;1723;52.94.228.167;http;[S];337743202:337743322;;;120
07:48:21.285612;IP;164.100.61.151;1724;52.94.228.167;http;[S];529005759:529005879;;;120
07:48:21.285628;IP;164.100.61.151;1725;52.94.228.167;http;[S];1708365607:1708365727;;;120
07:48:21.285645;IP;164.100.61.151;1726;52.94.228.167;http;[S];866683731:866683851;;;120
07:48:21.285661;IP;164.100.61.151;1727;52.94.228.167;http;[S];528414456:528414576;;;120
07:48:21.285678;IP;164.100.61.151;1728;52.94.228.167;http;[S];1939756256:1939756376;;;120
07:48:21.285694;IP;164.100.61.151;1729;52.94.228.167;http;[S];2105170086:2105170206;;;120
07:48:21.285711;IP;164.100.61.151;1730;52.94.228.167;http;[S];1731944048:1731944168;;;120
07:48:21.285727;IP;164.100.61.151;1731;52.94.228.167;http;[S];2132924266:2132924386;;;120
07:48:21.285744;IP;164.100.61.151;1732;52.94.228.167;http;[S];1264349755:1264349875;;;120
07:48:21.285760;IP;164.100.61.151;1733;52.94.228.167;http;[S];1287469410:1287469530;;;120
07:48:21.285776;IP;164.100.61.151;1734;52.94.228.167;http;[S];1539453054:1539453174;;;120
07:48:21.285793;IP;164.100.61.151;1735;52.94.228.167;http;[S];2121129600:2121129720;;;120
07:48:21.285809;IP;164.100.61.151;1736;52.94.228.167;http;[S];344227388:344227508;;;120
07:48:21.285825;IP;164.100.61.151;1737;52.94.228.167;http;[S];2050045805:2050045925;;;120
07:48:21.285842;IP;164.100.61.151;1738;52.94.228.167;http;[S];466534983:466535103;;;120
07:48:21.285858;IP;164.100.61.151;1739;52.94.228.167;http;[S];2013460283:2013460403;;;120
07:48:21.285874;IP;164.100.61.151;1740;52.94.228.167;http;[S];1466354507:1466354627;;;120
07:48:21.285891;IP;164.100.61.151;1741;52.94.228.167;http;[S];1585193547:1585193667;;;120
07:48:21.285907;IP;164.100.61.151;1742;52.94.228.167;http;[S];1027348299:1027348419;;;120
07:48:21.285924;IP;164.100.61.151;1743;52.94.228.167;http;[S];1603276970:1603277090;;;120
07:48:21.285940;IP;164.100.61.151;1744;52.94.228.167;http;[S];11374010:11374130;;;120
07:48:21.285957;IP;164.100.61.151;1745;52.94.228.167;http;[S];2017575831:2017575951;;;120
07:48:21.285973;IP;164.100.61.151;1746;52.94.228.167;http;[S];1242167435:1242167555;;;120
07:48:21.285990;IP;164.100.61.151;1747;52.94.228.167;http;[S];1133553273:1133553393;;;120
07:48:21.286006;IP;164.100.61.151;1748;52.94.228.167;http;[S];358686103:358686223;;;120
07:48:21.286023;IP;164.100.61.151;1749;52.94.228.167;http;[S];494186051:494186171;;;120
07:48:21.286039;IP;164.100.61.151;1750;52.94.228.167;http;[S];15194278:15194398;;;120
07:48:21.286057;IP;164.100.61.151;1751;52.94.228.167;http;[S];39459036:39459156;;;120
07:48:21.286074;IP;164.100.61.151;1752;52.94.228.167;http;[S];798605975:798606095;;;120
07:48:21.286090;IP;164.100.61.151;1753;52.94.228.167;http;[S];889754403:889754523;;;120
07:48:21.286116;IP;164.100.61.151;1754;52.94.228.167;http;[S];650647520:650647640;;;120
07:48:21.286136;IP;164.100.61.151;1755;52.94.228.167;http;[S];610291087:610291207;;;120
07:48:21.286156;IP;164.100.61.151;1756;52.94.228.167;http;[S];329567061:329567181;;;120
07:48:21.286175;IP;164.100.61.151;1757;52.94.228.167;http;[S];675159175:675159295;;;120
07:48:21.286194;IP;164.100.61.151;1758;52.94.228.167;http;[S];27998235:27998355;;;120
07:48:21.286214;IP;164.100.61.151;1759;52.94.228.167;http;[S];327840499:327840619;;;120
07:48:21.286233;IP;164.100.61.151;1760;52.94.228.167;http;[S];1532372405:1532372525;;;120
07:48:21.286348;IP;BP-Linux8;ssh;192.168.190.222;61599;[P.];181:217;36;options|nop,nop,TS|val|136695368|ecr|2033239199;36
07:48:21.286376;IP;BP-Linux8;ssh;192.168.190.222;61599;[P.];217:285;36;options|nop,nop,TS|val|136695368|ecr|2033239199;68
07:48:21.286399;IP;BP-Linux8;ssh;192.168.190.222;61599;[P.];285:321;36;options|nop,nop,TS|val|136695368|ecr|2033239199;36
07:48:21.286426;IP;BP-Linux8;ssh;192.168.190.222;61599;[P.];321:421;36;options|nop,nop,TS|val|136695368|ecr|2033239199;100
